selling_price,km_driven,engine_size,car_age
400000,170000,2523,12
210000,207890,2523,14
4600000,7976,2143,3
220000,35000,796,5
450000,35000,1197,4
450000,35000,1197,4
290000,50000,1197,8
520000,20000,1197,5
265000,20000,1197,10
330000,50000,1197,9
330000,50000,1197,9
509999,120000,2523,7
500000,70000,1591,7
525000,50000,1197,6
675000,16500,1197,2
300000,70000,1197,11
90000,99361,796,16
650000,25000,1248,4
409000,70000,1197,7
395000,80000,1120,6
400000,70000,1197,7
120000,60000,1199,9
645000,10000,1199,3
81000,80000,796,15
1300000,30000,1498,4
1250000,33000,1498,4
535000,90000,1373,8
555000,80100,1461,7
725000,120000,1497,7
229999,40000,799,5
800000,160000,2494,8
409999,47000,998,4
1210000,25000,1396,3
400000,26000,1199,4
520000,29000,1186,3
650000,50000,1197,5
325000,58000,1298,10
420000,120000,1197,9
400000,50000,1197,7
254999,80000,1197,11
65000,60000,993,18
351000,36000,998,4
404000,120000,2494,14
185000,185000,1248,10
250000,50000,1461,10
60000,100000,993,19
500000,50000,1591,8
85000,80000,998,14
85000,80000,796,16
265000,90000,1248,10
130000,162000,998,11
480000,110000,1248,8
170000,120000,1248,13
275000,45000,1461,10
89000,90000,998,16
170000,90000,1399,11
1090000,16500,1197,2
1100000,67000,1582,4
610000,52000,1197,3
335000,40000,1198,5
434999,40000,1197,6
3000000,35000,2755,3
390000,13000,799,3
325000,40000,1198,9
640000,10000,1198,2
450000,9000,1498,9
400000,70000,1364,8
215000,60000,1197,12
570000,40000,1461,7
680000,93000,2179,9
325000,80000,2494,13
150000,50000,1193,10
690000,68000,1797,8
1550000,25000,2143,8
64000,18000,624,9
250000,120000,1461,8
65000,35000,998,16
550000,60000,1248,5
140000,70000,1197,11
300000,30000,799,5
800000,70000,1798,5
2625000,9000,1999,4
5150000,20000,2487,2
3200000,45000,1999,4
503000,110000,2179,6
3800000,20000,1969,2
2000000,68089,2494,5
225000,58343,998,8
740000,38817,1248,3
550000,56494,1199,5
750000,79328,2494,8
650000,5621,1197,2
625000,25538,1496,4
600000,69779,1197,3
450000,56290,1186,4
5400000,7500,1995,2
5500000,8500,1995,2
779000,7032,1199,2
645000,11000,1598,5
2475000,2000,1984,3
150000,106000,1197,11
500000,120000,2354,12
480000,90000,1248,6
535000,70000,1582,7
250000,240000,2494,16
300000,100000,1248,9
340000,214000,1599,12
340000,214000,1493,12
240000,50000,796,5
1085000,1000,1497,3
750000,19000,1248,4
95000,265000,1405,9
409999,35000,1196,1
215000,80000,998,7
1290000,50000,2179,5
150000,80000,998,11
219000,50000,814,8
325000,100000,1199,3
260000,120000,1196,8
2625000,9000,1999,4
5150000,20000,2487,2
3200000,45000,1999,4
503000,110000,2179,6
3800000,20000,1969,2
2000000,68089,2494,5
225000,58343,998,8
740000,38817,1248,3
550000,56494,1199,5
750000,79328,2494,8
650000,5621,1197,2
625000,25538,1496,4
600000,69779,1197,3
450000,56290,1186,4
5400000,7500,1995,2
5500000,8500,1995,2
779000,7032,1199,2
645000,11000,1598,5
2475000,2000,1984,3
700000,40000,1498,2
950000,45000,1396,4
160000,80000,796,11
409999,135000,1120,6
840000,120000,2494,6
450000,67000,1364,8
900000,50000,1248,4
570000,134000,2494,13
254999,110000,1461,10
130000,40000,796,12
530000,120000,1248,8
520000,110000,1498,6
229999,170000,1461,10
81000,80000,796,17
600000,47000,1248,5
409999,93000,1197,6
120000,70000,796,11
320000,50000,998,7
292000,70000,1399,6
390000,80000,2179,9
550000,44000,1196,5
385000,25000,998,7
800000,25000,1591,5
675000,10000,1197,2
1525000,50000,2179,3
950000,30000,1498,3
610000,50000,1396,6
525000,120000,1396,9
700000,40000,1498,2
375000,80000,2523,6
580000,90000,1461,6
434999,50000,1197,6
350000,2136,999,1
730000,250000,2494,9
600000,35000,1197,6
1050000,120000,2494,6
735000,70000,1248,4
1050000,18000,1461,3
420000,110000,1248,5
800000,60000,1248,4
2000000,60000,2982,6
600000,147000,1248,5
1900000,130000,2982,6
500000,99500,1991,10
200000,110000,1405,10
370000,35000,1198,5
260000,110000,1493,11
280000,100000,1198,5
610000,21000,1373,7
300000,60000,1498,8
140000,40000,1405,11
229999,50000,1086,13
200000,65000,998,11
200000,80000,998,10
560000,119000,1582,6
750000,80000,1248,5
585000,90000,1248,4
760000,20000,1591,5
430000,80000,1248,7
480000,44665,1198,1
643000,10000,1493,2
500000,60000,1197,3
425000,22000,1198,5
250000,25000,796,7
285000,70000,793,5
160000,123000,1298,13
250000,70000,1598,10
170000,70000,1199,8
409999,45000,1364,8
400000,40000,1197,6
700000,30000,1248,2
350000,90000,1799,14
660000,34000,1373,5
268000,25000,796,4
270000,50000,796,5
300000,50000,936,8
450000,90000,1199,4
220000,70000,936,9
250000,146000,2179,12
300000,85000,1196,9
88000,201850,1396,12
561000,30000,1248,5
755000,15000,1248,3
235000,25000,799,4
165000,90000,998,10
190000,80000,1248,13
110000,50000,1396,10
320000,80000,2523,9
540000,38000,1197,5
180000,60000,814,8
270000,100000,1196,5
450000,30000,1197,9
450000,30000,1197,7
200000,50000,1199,6
425000,42000,1199,4
400000,30000,1199,5
125000,60000,796,12
1600000,14000,1956,3
900000,22000,1497,6
450000,90000,1598,9
210000,46000,998,10
801000,20000,1197,3
317000,15000,1405,7
600000,40000,1373,6
330000,30000,1197,7
320000,15000,814,4
120000,110000,1341,14
130000,70000,796,12
220000,80000,1199,6
340000,110000,1193,6
200000,70000,1399,8
140000,50000,796,19
1000000,190000,2494,8
495000,100000,2523,11
236000,60000,796,6
390000,40000,998,6
275000,90000,1248,12
503000,110000,2179,6
775000,32000,1248,4
1800000,30000,2755,5
850000,58000,1582,5
750000,5000,1248,3
570000,25000,1197,3
580000,32000,1197,3
484999,30000,1199,5
700000,43000,1497,4
415000,60000,1497,9
325000,50000,1198,6
550000,14200,1196,3
300000,10000,814,4
217000,25000,799,3
700000,19100,1194,3
466000,25000,1086,2
484999,54000,1498,7
670000,35000,1461,3
500000,20000,1197,3
675000,52000,1248,5
220000,120000,1396,10
1650000,50000,1956,4
630000,120000,1248,8
250000,90000,1248,11
120000,120000,998,17
300000,101500,1498,6
525000,75000,1582,8
1100000,100000,1997,5
480000,55735,1461,9
605000,80000,2179,7
250000,50000,796,5
245000,70000,1399,8
210000,76000,1197,9
730000,1500,1197,1
500000,76000,2523,9
400000,40000,998,6
280000,60000,814,6
561000,170000,2494,12
950000,181491,2477,8
375000,53319,936,5
700000,40906,1498,4
375000,31711,1496,9
270000,43755,814,9
300000,66693,799,5
225000,59549,998,11
1350000,94385,2494,6
200000,73730,998,11
400000,221889,1582,10
500000,116104,1498,8
500000,150546,1197,6
1500000,148120,2755,8
555000,20000,1499,6
580000,30000,1197,3
337000,142000,2179,10
175000,20000,1948,10
180000,120000,1248,12
200000,80000,1086,10
260000,60000,1405,5
350000,25000,999,5
409999,50000,2523,10
655000,126000,1493,4
370000,170000,1248,6
200000,24000,796,8
800000,100000,1248,4
550000,10000,1199,2
300000,70000,1399,9
220000,40000,796,4
196000,110000,998,10
135000,80000,1086,13
299000,16500,1193,6
300000,30000,998,4
720000,80000,1248,4
650000,50000,2179,5
300000,25000,998,5
750000,20000,1186,2
260000,60000,799,5
300000,70000,1248,10
600000,50000,2523,7
275000,100000,2997,17
250000,52000,998,6
420000,80000,1248,7
235000,50000,814,6
1100000,60000,2179,5
360000,25000,998,2
380000,50000,1120,7
650000,125000,1498,5
350000,80000,998,5
700000,70000,2523,4
270000,90000,1396,11
450000,50000,1248,4
630000,101000,2498,5
229999,168000,2498,11
229999,168000,2498,11
270000,40000,998,10
135000,28900,1172,12
275000,20000,998,9
2625000,9000,1999,4
5150000,20000,2487,2
3200000,45000,1999,4
503000,110000,2179,6
3800000,20000,1969,2
2000000,68089,2494,5
225000,58343,998,8
740000,38817,1248,3
550000,56494,1199,5
750000,79328,2494,8
650000,5621,1197,2
625000,25538,1496,4
600000,69779,1197,3
450000,56290,1186,4
5400000,7500,1995,2
5500000,8500,1995,2
779000,7032,1199,2
645000,11000,1598,5
2475000,2000,1984,3
634000,165000,1493,6
235000,98500,998,9
275000,98000,1197,13
700000,40000,2498,7
400000,90000,1248,8
215000,90000,796,9
150000,110000,1493,12
950000,77800,1248,3
730000,100000,1493,6
135000,120000,1405,9
350000,80000,1197,5
535000,21000,1198,3
455000,100000,1197,3
655000,25000,1197,2
800000,30000,1498,2
1100000,25000,1496,3
3000000,40000,2143,5
1225000,160000,2982,9
340000,51492,1198,3
300000,72000,1598,10
370000,60000,1196,5
330000,136000,2523,8
238000,60000,1086,7
200000,90000,1086,8
320000,91000,1461,7
114999,90000,1086,12
320000,50000,998,6
210000,20000,1086,11
200000,120000,2489,10
135000,150000,1061,12
350000,52000,1405,6
350000,167000,2523,7
680000,40000,1248,4
200000,190000,1248,11
300000,50000,999,5
270000,70000,2498,10
225000,80000,998,9
250000,120000,2523,13
590000,40000,1493,6
290000,17000,814,6
100000,180000,998,11
395000,50000,998,5
195000,65000,814,7
45000,10000,624,10
270000,70000,2523,12
600000,90000,2499,7
715000,50000,1396,6
600000,10000,1197,2
875000,25000,1493,2
420000,100000,2179,10
325000,70000,2354,14
385000,30000,1198,4
300000,40000,1198,5
335000,135000,1396,9
300000,35000,998,7
80000,120000,1495,17
400000,120000,2523,9
168000,190000,1396,9
550000,120000,2523,5
320000,175000,2523,10
320000,175000,2523,10
350000,25000,1498,10
280000,80000,1248,8
550000,70000,1120,4
500000,10000,1197,3
700000,6000,1194,2
380000,90000,1598,8
340000,110000,2523,9
160000,120000,2523,14
750000,50000,2494,7
531000,20000,1197,3
300000,35000,999,4
350000,60000,1498,7
150000,68000,1199,11
450000,30000,1197,6
1625000,54000,2179,4
85000,120000,1405,15
450000,30000,1197,3
360000,50000,1047,4
390000,6000,998,1
145000,50000,1196,10
540000,90000,2179,9
290000,126000,2494,13
300000,90000,1396,8
565000,80000,1196,4
441000,70000,2609,10
180000,80000,814,10
200000,80000,814,8
85000,150000,796,16
67500,110000,1396,15
700000,110000,1248,5
275000,80000,1199,11
600000,20000,1197,2
250000,120000,2489,10
600000,120000,2523,5
200000,80000,1248,11
425000,91500,1120,6
420000,120000,1248,9
321000,100000,1396,9
350000,120000,2498,9
490000,80000,1198,4
680000,90000,2523,6
298000,70000,998,5
450000,150000,2179,10
250000,40000,1248,9
1075000,110000,2953,8
500000,20000,1197,4
681000,10000,1194,2
650000,90000,2179,7
80000,70000,1150,13
290000,120000,2523,12
220000,120000,2179,15
120000,90000,1086,12
229999,80000,799,4
150000,132478,2523,18
500000,45000,1197,7
175000,120000,1396,8
720000,10000,1194,2
100000,51000,796,9
250000,105000,1799,12
810000,100000,2179,7
165000,30000,796,11
409999,60000,1994,5
430000,86000,1248,8
300000,15000,1198,6
350000,137500,1248,10
400000,60000,999,3
420000,70000,1248,5
430000,5000,998,6
573000,30000,1197,4
210000,40000,814,6
600000,60000,1461,6
150000,70000,1497,13
550000,15000,1199,2
320000,110000,1248,10
80000,70000,796,21
800000,10000,1498,2
500000,60000,1373,8
229999,110000,1248,10
500000,60000,1373,8
630000,35000,1197,6
190000,70000,796,5
229999,110000,1248,10
450000,100000,2523,10
95000,120000,796,13
101000,90000,796,12
500000,70000,1498,5
1019999,88000,2494,7
244000,38000,814,9
250000,90000,998,8
660000,60000,1197,5
270000,60000,1197,11
280000,156060,1248,9
1050000,60000,1582,4
525000,70000,1197,4
850000,35000,1582,4
1165000,50000,1997,5
345000,50000,1197,9
95000,100000,1086,14
241000,15000,796,6
235000,20000,796,6
615000,80000,1498,6
350000,110000,1461,7
350000,35000,998,7
380000,35000,998,7
400000,140000,2956,4
220000,40000,998,11
270000,110000,2179,13
275000,70000,1197,9
125000,100000,1405,12
360000,20000,1086,6
550000,15000,1197,2
200000,70000,1388,10
327000,20000,1198,5
425000,15000,1086,5
620000,107000,1248,4
130000,54000,1248,10
120000,58000,796,12
400000,110000,2179,10
185000,90000,1493,14
204999,43000,998,6
625000,43000,1248,4
600000,60000,1248,8
150000,150000,1396,10
300000,35000,999,4
229999,46000,1199,8
220000,10000,796,3
576000,35000,1197,5
265000,50000,799,5
300000,80000,1582,10
420000,110000,1047,4
750000,14000,1248,6
165000,60000,796,9
290000,28000,799,4
160000,57000,814,10
695000,50000,1248,4
231000,70000,998,9
1050000,60000,1364,6
400000,70000,1197,8
500000,40000,1197,5
150000,120000,1248,11
400000,140000,2179,5
120000,100000,1405,11
480000,120000,2179,7
200000,120000,1405,8
300000,64000,1399,9
350000,25000,998,6
580000,12000,999,2
200000,70000,936,9
750000,120000,2179,5
261000,90000,799,5
371000,40000,1199,6
320000,300000,2523,11
204999,120000,1396,9
110000,90000,1495,18
150000,100000,1399,12
625000,90000,2523,5
1300000,50000,1997,4
900000,168000,1968,6
180000,110000,1399,11
421000,120000,2523,11
204999,120000,1396,9
900000,40000,1498,4
165000,110000,1497,15
270000,100000,1396,11
750000,40000,1248,4
750000,30000,1197,2
40000,80000,796,19
190000,90000,1399,10
395000,200000,2494,12
800000,125000,2982,11
315000,80000,1197,10
1600000,44000,1968,7
409999,90000,1364,8
580000,32000,1197,3
340000,70000,1197,8
270000,43000,814,6
280000,80000,1248,4
130000,60000,1248,9
260000,18945,814,7
710000,70000,1186,3
204999,100000,1196,8
300000,60000,1198,4
180000,144000,1248,12
700000,120000,1493,5
320000,107825,1396,9
370000,15000,796,1
340000,10000,799,3
1040000,1620,1462,2
750000,30000,1396,3
600000,70000,2179,3
550000,70000,2523,5
600000,95000,2494,8
550000,50000,1047,4
750000,160000,1498,6
450000,10000,1086,2
400000,100000,1248,9
520000,50000,1248,5
199000,60000,998,8
150000,110000,936,9
540000,80000,1396,5
250000,85000,1248,10
200000,90000,1061,11
130000,90000,1396,10
90000,90000,796,14
450000,120000,1582,9
280000,120000,1493,12
280000,160000,2956,14
120000,141000,993,15
290000,100000,1248,13
1000000,15000,1396,2
415000,108000,1248,9
415000,108000,1248,9
240000,55000,936,6
250000,37944,1248,11
175000,90400,1399,10
220000,85000,1493,13
85000,120000,1527,18
675000,5000,1197,2
535000,50000,1461,5
675000,5000,999,2
800000,90000,1248,5
425000,96000,1248,9
150000,80000,1196,10
90000,60000,1061,14
850000,90000,2179,6
330000,193623,2494,13
850000,63186,1396,4
305000,219000,2523,13
910000,110000,2494,8
1100000,151000,2494,9
675000,5000,1197,2
150000,91500,796,11
550000,23000,1248,6
350000,40000,1598,9
300000,70000,1248,9
1745000,10000,2755,3
611000,90000,2523,7
400000,68000,1198,5
700000,120000,1582,8
300000,65000,1248,8
65000,85000,1341,16
200000,94000,998,10
650000,100000,1396,6
650000,80000,1396,6
350000,80000,1199,8
75000,140500,1396,10
240000,143000,1298,11
240000,60000,998,8
180000,120000,1248,10
900000,80000,2199,7
425000,63000,2523,7
95000,120000,995,12
811000,100000,1248,3
1100000,60000,1591,3
600000,90000,2499,8
550000,50000,1248,7
715000,70000,2179,6
100000,120000,1405,15
500000,195000,2523,8
350000,40000,998,8
100000,40000,1405,13
325000,120000,2179,9
220000,360003,998,9
55000,60000,796,22
330000,20000,799,5
480000,37000,2523,7
950000,57000,1248,3
300000,110000,1493,10
170000,110000,1599,15
850000,120000,2494,8
900000,8079,1047,2
1325000,114368,2494,6
350000,79990,1399,9
425000,81632,1399,9
600000,155201,1498,5
750000,101504,1498,7
450000,90165,1399,9
325000,86017,1498,11
900000,85036,2179,8
600000,125531,1498,8
1100000,10000,1591,2
520000,20000,1199,4
885000,170000,2179,6
950000,40000,1497,3
229999,120000,1497,13
409999,100000,1248,8
300000,110000,1399,10
175000,120000,1405,13
108000,206000,796,21
425000,40000,998,4
272000,170000,1991,10
310000,70000,1086,8
1125000,105000,1396,4
450000,46000,1197,7
388000,80000,1199,10
400000,60000,1599,10
760000,70000,1498,6
120000,90000,796,12
757000,25000,1248,2
270000,53000,796,6
250000,90000,2179,10
800000,60000,2494,10
1380000,150000,2982,7
700000,24000,2498,7
450000,100000,1498,5
650000,6000,1198,3
950000,49700,2179,8
626000,80000,2494,14
600000,10000,1197,2
290000,21000,799,2
215000,25000,998,8
250000,22000,799,5
750000,50000,1248,4
250000,20000,998,5
950000,15000,1497,4
793000,30000,1498,3
750000,74000,1582,6
725000,6550,1199,4
480000,30000,1120,5
3750000,56000,2993,8
795000,41779,1197,3
625000,54000,1199,5
2900000,31000,2143,5
625000,37000,1248,4
440000,90000,1991,10
1400000,13534,1798,3
1450000,7000,1794,4
2700000,23000,2143,4
1925000,43000,2755,2
1900000,5000,1493,1
844999,70000,1248,4
650000,99000,1498,5
750000,15000,1197,3
6000000,28156,2993,3
610000,30000,1199,6
2940000,100000,2755,3
1150000,63309,1582,4
1825000,94000,2755,5
890000,29000,1197,3
2625000,9000,1999,4
5150000,20000,2487,2
3200000,45000,1999,4
503000,110000,2179,6
3800000,20000,1969,2
2000000,68089,2494,5
225000,58343,998,8
740000,38817,1248,3
550000,56494,1199,5
750000,79328,2494,8
650000,5621,1197,2
625000,25538,1496,4
600000,69779,1197,3
450000,56290,1186,4
5400000,7500,1995,2
5500000,8500,1995,2
779000,7032,1199,2
645000,11000,1598,5
2475000,2000,1984,3
2625000,9000,1999,4
5150000,20000,2487,2
3200000,45000,1999,4
503000,110000,2179,6
3800000,20000,1969,2
2000000,68089,2494,5
225000,58343,998,8
740000,38817,1248,3
550000,56494,1199,5
750000,79328,2494,8
650000,5621,1197,2
625000,25538,1496,4
600000,69779,1197,3
450000,56290,1186,4
5400000,7500,1995,2
5500000,8500,1995,2
779000,7032,1199,2
645000,11000,1598,5
2475000,2000,1984,3
2625000,9000,1999,4
5150000,20000,2487,2
3200000,45000,1999,4
503000,110000,2179,6
3800000,20000,1969,2
2000000,68089,2494,5
225000,58343,998,8
740000,38817,1248,3
550000,56494,1199,5
750000,79328,2494,8
650000,5621,1197,2
625000,25538,1496,4
600000,69779,1197,3
450000,56290,1186,4
5400000,7500,1995,2
5500000,8500,1995,2
779000,7032,1199,2
645000,11000,1598,5
2475000,2000,1984,3
2625000,9000,1999,4
5150000,20000,2487,2
3200000,45000,1999,4
503000,110000,2179,6
3800000,20000,1969,2
2000000,68089,2494,5
225000,58343,998,8
740000,38817,1248,3
550000,56494,1199,5
750000,79328,2494,8
650000,5621,1197,2
625000,25538,1496,4
600000,69779,1197,3
450000,56290,1186,4
5400000,7500,1995,2
5500000,8500,1995,2
779000,7032,1199,2
645000,11000,1598,5
2475000,2000,1984,3
385000,155000,1396,4
400000,35000,998,5
550000,50000,1186,3
270000,185000,2499,11
200000,175000,1396,8
310000,11500,799,5
700000,3000,1186,2
480000,80000,1248,6
90000,40000,796,16
80000,40000,796,16
350000,90000,1248,6
600000,100000,1248,4
350000,120000,2179,10
770000,50000,1248,3
350000,25000,1461,9
600000,50000,2179,10
750000,71000,1493,5
340000,40000,998,5
650000,31800,1197,3
300000,65000,1197,7
204999,15000,796,7
254999,70000,1461,9
650000,5000,1196,4
280000,50000,814,4
100000,80000,1396,10
575000,70000,2499,7
780000,40000,1248,4
467000,157000,2523,8
1050000,90000,2179,6
225000,80000,1086,10
260000,70000,1461,9
90000,50000,995,12
280000,60000,1399,9
350000,106000,1461,7
229999,80000,2179,15
550000,80000,2523,5
850000,110000,2494,8
370000,120000,2523,10
250000,27000,998,8
95000,70000,796,14
180000,70000,1061,11
650000,50000,1493,5
530000,60000,1186,3
610000,15000,1197,4
265000,135000,2498,11
560000,26300,1199,3
430000,120000,2523,7
711000,35000,1248,4
511000,30000,1197,6
450000,165000,2523,9
325000,50000,1193,6
434999,120000,1461,8
210000,100000,1399,11
160000,120000,1586,14
650000,70000,1373,4
320000,72000,1197,7
290000,50000,999,4
80000,30000,624,8
1100000,20000,2179,4
600000,110000,1248,6
340000,25000,799,4
750000,120000,2494,7
100000,40000,796,15
395000,10000,799,2
200000,65000,1061,11
450000,10000,1196,2
180000,110000,1390,9
190000,120000,2523,13
310000,72000,1196,6
351000,89100,1248,7
190000,94000,1599,15
225000,120000,814,6
130000,110000,995,9
1000000,50000,1248,3
55000,90000,1405,17
330000,23000,1199,7
166000,50000,796,8
200000,300000,2498,8
140000,50000,998,10
370000,140000,1196,4
720000,16000,1197,2
500000,126000,1396,6
570000,15000,1197,2
210000,200000,1197,11
120000,120000,796,12
95000,120000,1341,16
196000,110000,1197,11
392000,38000,1196,5
150000,104000,1368,11
595000,120000,1497,4
833000,35000,1248,3
280000,210000,1248,10
35000,35000,796,18
180000,85000,1248,12
225000,80000,998,9
1400000,50000,2143,9
340000,40000,1396,12
550000,216000,2494,11
400000,65000,998,4
90000,100000,1341,15
650000,84000,1248,6
730000,210000,2494,9
125000,60000,1150,11
81000,100000,1341,15
170000,78000,1298,14
81000,161000,1493,19
95000,70000,796,16
55000,50000,624,11
880000,65000,1461,4
200000,50000,799,6
480000,25000,1197,2
480000,100000,2523,8
700000,6000,1197,3
850000,72113,1498,5
300000,40000,1396,9
650000,8000,1197,4
220000,20000,1197,11
300000,45000,1405,7
450000,80000,1248,7
400000,90000,1248,7
1030000,25000,1248,3
190000,100000,1248,11
140000,60000,1388,15
800000,30000,1396,3
229999,120000,2609,14
300000,80000,2179,10
375000,69000,1598,10
140000,75000,1199,11
60000,113000,796,17
420000,90000,1120,7
300000,100000,1461,9
150000,110000,1248,9
600000,90000,1498,6
204999,100000,1399,10
625000,50000,1186,4
280000,200000,1248,10
1050000,146000,2199,7
250000,80000,1598,12
535000,96443,2179,11
400000,100000,2354,12
610000,10000,1197,2
509999,110000,1248,7
521000,86000,2179,7
511000,100000,1248,7
451000,91000,1396,7
170000,100000,1197,12
450000,120000,1248,8
375000,90000,1497,10
305000,60000,796,5
315000,51500,799,5
250000,60000,1248,5
200000,104500,1399,9
